ALO,2022-02-28 23:54,48.90,34.00,56.23,230.00,6.00,0.00,29.93,1014.10,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,45.88,KALO 282354Z 23006KT 10SM CLR 09/01 A2993 RMK AO2 SLP141 T00940011 10133 20094 56013,M
ALO,2022-03-01 00:54,48.00,34.00,58.16,250.00,5.00,0.00,29.94,1014.70,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,45.40,KALO 010054Z 25005KT 10SM CLR 09/01 A2994 RMK AO2 SLP147 T00890011,M
ALO,2022-03-01 01:54,46.00,33.10,60.49,230.00,6.00,0.00,29.93,1014.10,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,42.39,KALO 010154Z AUTO 23006KT 10SM CLR 08/01 A2993 RMK AO2 SLP141 T00780006,M
ALO,2022-03-01 02:54,44.10,33.10,65.02,230.00,7.00,0.00,29.92,1014.00,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,39.53,KALO 010254Z AUTO 23007KT 10SM CLR 07/01 A2992 RMK AO2 SLP140 T00670006 58001,M
ALO,2022-03-01 03:54,46.00,33.10,60.49,230.00,5.00,0.00,29.92,1013.60,10.00,M,BKN,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,43.02,KALO 010354Z AUTO 23005KT 10SM BKN120 08/01 A2992 RMK AO2 SLP136 T00780006,M
ALO,2022-03-01 04:54,39.00,32.00,75.75,0.00,0.00,0.00,29.90,1013.10,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,39.00,KALO 010454Z AUTO 00000KT 10SM CLR 04/00 A2990 RMK AO2 SLP131 T00390000,M
ALO,2022-03-01 05:54,39.00,32.00,75.75,230.00,3.00,0.00,29.91,1013.20,10.00,M,BKN,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,36.69,KALO 010554Z AUTO 23003KT 10SM BKN110 04/00 A2991 RMK AO2 SLP132 T00390000 10094 20033 401331056 55006,M
ALO,2022-03-01 06:54,39.00,32.00,75.75,0.00,0.00,0.00,29.91,1013.40,10.00,M,OVC,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,39.00,KALO 010654Z AUTO 00000KT 10SM OVC110 04/00 A2991 RMK AO2 SLP134 T00390000,M
ALO,2022-03-01 07:54,37.90,32.00,79.08,10.00,3.00,0.00,29.91,1013.30,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,35.43,KALO 010754Z AUTO 01003KT 10SM OVC100 03/00 A2991 RMK AO2 SLP133 T00330000,M
ALO,2022-03-01 08:54,39.00,32.00,75.75,0.00,0.00,0.00,29.91,1013.20,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,39.00,KALO 010854Z AUTO 00000KT 10SM OVC100 04/00 A2991 RMK AO2 SLP132 T00390000 50001,M
