ALO,2022-01-31 23:54,35.10,24.10,63.86,130.00,15.00,0.00,29.76,1008.70,10.00,21.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,24.80,KALO 312354Z 13015G21KT 10SM CLR 02/M04 A2976 RMK AO2 SLP087 T00171044 10017 21022 56019,M
ALO,2022-02-01 00:54,35.10,24.10,63.86,140.00,12.00,0.00,29.75,1008.60,10.00,22.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,25.95,KALO 010054Z 14012G22KT 10SM CLR 02/M04 A2975 RMK AO2 SLP086 T00171044,M
ALO,2022-02-01 01:54,35.10,24.10,63.86,150.00,18.00,0.00,29.75,1008.50,10.00,26.00,CLR,M,M,M,M,M,M,M,M,M,M,M,27.00,160.00,2022-02-01 01:19,23.83,KALO 010154Z AUTO 15018G26KT 10SM CLR 02/M04 A2975 RMK AO2 PK WND 16027/0119 SLP085 T00171044,M
ALO,2022-02-01 02:54,33.10,24.10,69.17,150.00,15.00,0.00,29.73,1007.90,10.00,24.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,22.21,KALO 010254Z AUTO 15015G24KT 10SM CLR 01/M04 A2973 RMK AO2 SLP079 T00061044 58008,M
ALO,2022-02-01 03:54,34.00,24.10,66.72,160.00,18.00,0.00,29.70,1006.80,10.00,26.00,CLR,M,M,M,M,M,M,M,M,M,M,M,26.00,170.00,2022-02-01 03:53,22.38,KALO 010354Z AUTO 16018G26KT 10SM CLR 01/M04 A2970 RMK AO2 PK WND 17026/0353 SLP068 T00111044,M
ALO,2022-02-01 04:54,35.10,25.00,66.31,160.00,19.00,0.00,29.67,1005.60,10.00,28.00,CLR,M,M,M,M,M,M,M,M,M,M,M,28.00,170.00,2022-02-01 04:50,23.54,KALO 010454Z AUTO 16019G28KT 10SM CLR 02/M04 A2967 RMK AO2 PK WND 17028/0450 SLP056 T00171039,M
ALO,2022-02-01 05:54,36.00,25.00,63.98,170.00,18.00,0.00,29.66,1005.40,10.00,25.00,CLR,M,M,M,M,M,M,M,M,M,M,M,28.00,170.00,2022-02-01 05:20,25.01,KALO 010554Z AUTO 17018G25KT 10SM CLR 02/M04 A2966 RMK AO2 PK WND 17028/0520 SLP054 T00221039 10022 20006 400221150 56022,M
ALO,2022-02-01 06:54,37.00,26.10,64.38,180.00,16.00,0.00,29.66,1005.10,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,26.94,KALO 010654Z AUTO 18016KT 10SM CLR 03/M03 A2966 RMK AO2 SLP051 T00281033,M
ALO,2022-02-01 07:54,37.90,27.00,64.49,190.00,13.00,0.00,29.68,1005.70,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,29.13,KALO 010754Z AUTO 19013KT 10SM CLR 03/M03 A2968 RMK AO2 SLP057 T00331028,M
ALO,2022-02-01 08:54,37.90,27.00,64.49,220.00,8.00,0.00,29.71,1006.70,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,31.38,KALO 010854Z AUTO 22008KT 10SM CLR 03/M03 A2971 RMK AO2 SLP067 T00331028 53015,M
